"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","spend_share","spend_share_refresh","mean_spend","total_spend","mean_exposure","mean_exposure_refresh","effect_share","effect_share_refresh","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","mean_response","mean_spend_adstocked","mean_carryover","roi_mean","roi_total","cpa_mean","cpa_total"
"1","(Intercept)",1939157.1117831,302508509.438163,0.813701161259163,1939157.1117831,0.799491659316173,302508509.438163,0.813701161259163,1939157.1117831,0.799491659316173,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.034845872352401,NA,NA,0.17101313295651,NA,NA,0.17101313295651,0.414358308769331,0,23913706.3578831,0.3952036038,60500580.1432401,1e-04,"1_1_1",1,1,1,1,14,NA,NA,NA,NA,NA,NA,NA
"2","trend",0.0275535839208879,10241266.8945037,0.0275474259560494,65649.146759639,0.0270663707219127,10241266.8945037,0.0275474259560494,65649.146759639,0.0270663707219127,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.034845872352401,NA,NA,0.17101313295651,NA,NA,0.17101313295651,0.414358308769331,0,23913706.3578831,0.3952036038,60500580.1432401,1e-04,"1_1_1",1,1,1,1,14,NA,NA,NA,NA,NA,NA,NA
"3","season",0.0249533328879912,5200.11905221305,1.39875169770608e-05,33.3340964885452,1.37432557431754e-05,5200.11905221305,1.39875169770608e-05,33.3340964885452,1.37432557431754e-05,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.034845872352401,NA,NA,0.17101313295651,NA,NA,0.17101313295651,0.414358308769331,0,23913706.3578831,0.3952036038,60500580.1432401,1e-04,"1_1_1",1,1,1,1,14,NA,NA,NA,NA,NA,NA,NA
"4","holiday",0.010423402688776,-1073.22889865204,-2.8868199534353e-06,-23.3310630141749,-9.61912274640864e-06,-1073.22889865204,-2.8868199534353e-06,-23.3310630141749,-9.61912274640864e-06,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.034845872352401,NA,NA,0.17101313295651,NA,NA,0.17101313295651,0.414358308769331,0,23913706.3578831,0.3952036038,60500580.1432401,1e-04,"1_1_1",1,1,1,1,14,NA,NA,NA,NA,NA,NA,NA
"5","cpi",2746.64248567628,56055273.9349227,0.150780027908176,359328.679070017,0.14814698619516,56055273.9349227,0.150780027908176,359328.679070017,0.14814698619516,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.034845872352401,NA,NA,0.17101313295651,NA,NA,0.17101313295651,0.414358308769331,0,23913706.3578831,0.3952036038,60500580.1432401,1e-04,"1_1_1",1,1,1,1,14,NA,NA,NA,NA,NA,NA,NA
"6","gdp_growth",-8557.85673476534,-6610072.60152158,-0.0177800742261928,0,0,-6610072.60152158,-0.0177800742261928,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.034845872352401,NA,NA,0.17101313295651,NA,NA,0.17101313295651,0.414358308769331,0,23913706.3578831,0.3952036038,60500580.1432401,1e-04,"1_1_1",1,1,1,1,14,NA,NA,NA,NA,NA,NA,NA
"7","festival",6115.7364300634,1467395.48250748,0.00394706717626024,9406.38129812486,0.00387814032524851,1467395.48250748,0.00394706717626024,9406.38129812486,0.00387814032524851,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.034845872352401,NA,NA,0.17101313295651,NA,NA,0.17101313295651,0.414358308769331,0,23913706.3578831,0.3952036038,60500580.1432401,1e-04,"1_1_1",1,1,1,1,14,NA,NA,NA,NA,NA,NA,NA
"8","trade_spend",0.00318417917507778,1930471.18188923,0.00519266927531409,12374.8152685207,0.00510199072197063,1930471.18188923,0.00519266927531409,12374.8152685207,0.00510199072197063,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.034845872352401,NA,NA,0.17101313295651,NA,NA,0.17101313295651,0.414358308769331,0,23913706.3578831,0.3952036038,60500580.1432401,1e-04,"1_1_1",1,1,1,1,14,NA,NA,NA,NA,NA,NA,NA
"9","tv",34506.7549959495,1693961.56920046,0.00455649495132159,10858.7280076953,0.00447692578398276,1693961.56920046,0.00455649495132159,10858.7280076953,0.00447692578398276,TRUE,0.427663895273359,0.427663895273359,75138280.16671,11721571706.0068,NA,NA,0.274477363793407,0.274477363793407,1,0.034845872352401,NA,NA,0.17101313295651,NA,NA,0.17101313295651,0.414358308769331,0,23913706.3578831,0.3952036038,60500580.1432401,1e-04,"1_1_1",1,1,1,1,14,NA,NA,NA,NA,0.000144516589727672,NA,6919.62079844542
"10","youtube",8594.00954516606,506868.333457926,0.00136339751997793,3249.15598370465,0.00133958877958088,506868.333457926,0.00136339751997793,3249.15598370465,0.00133958877958088,TRUE,0.218918331776074,0.218918331776074,38462790.8233994,6000195368.4503,NA,NA,0.0821293035730169,0.0821293035730169,1,0.034845872352401,NA,NA,0.17101313295651,NA,NA,0.17101313295651,0.414358308769331,0,23913706.3578831,0.3952036038,60500580.1432401,1e-04,"1_1_1",1,1,1,1,14,NA,NA,NA,NA,8.44753049414184e-05,NA,11837.7791082669
"11","facebook",18521.2539498793,1219029.92844462,0.00327900220138378,7814.29441310656,0.00322174163648606,1219029.92844462,0.00327900220138378,7814.29441310656,0.00322174163648606,TRUE,0.131526640964638,0.131526640964638,23108533.8449492,3604931279.81207,NA,NA,0.197522852482818,0.197522852482818,1,0.034845872352401,NA,NA,0.17101313295651,NA,NA,0.17101313295651,0.414358308769331,0,23913706.3578831,0.3952036038,60500580.1432401,1e-04,"1_1_1",1,1,1,1,14,NA,NA,NA,NA,0.000338156218197916,NA,2957.21310502332
"12","instagram",22397.2160841069,1478879.84795751,0.00397795834530659,9479.99902536864,0.00390849204793853,1478879.84795751,0.00397795834530659,9479.99902536864,0.00390849204793853,TRUE,0.0569363304516785,0.0569363304516785,10003411.5491748,1560532201.67127,NA,NA,0.23962706676171,0.23962706676171,1,0.034845872352401,NA,NA,0.17101313295651,NA,NA,0.17101313295651,0.414358308769331,0,23913706.3578831,0.3952036038,60500580.1432401,1e-04,"1_1_1",1,1,1,1,14,NA,NA,NA,NA,0.000947676598005274,NA,1055.21229721707
"13","print_media",37027.5714161443,1272849.64906882,0.00342376893621676,8159.29262223603,0.00336398033854998,1272849.64906882,0.00342376893621676,8159.29262223603,0.00336398033854998,TRUE,0.0349662368377819,0.0349662368377819,6143382.52288855,958367673.570613,NA,NA,0.206243413389049,0.206243413389049,1,0.034845872352401,NA,NA,0.17101313295651,NA,NA,0.17101313295651,0.414358308769331,0,23913706.3578831,0.3952036038,60500580.1432401,1e-04,"1_1_1",1,1,1,1,14,NA,NA,NA,NA,0.00132814334641165,NA,752.930775658953
"14","radio",0,0,0,0,0,0,0,0,0,TRUE,0.12998856469647,0.12998856469647,22838301.9950487,3562775111.22759,NA,NA,0,0,1,0.034845872352401,NA,NA,0.17101313295651,NA,NA,0.17101313295651,0.414358308769331,0,23913706.3578831,0.3952036038,60500580.1432401,1e-04,"1_1_1",1,1,1,1,14,NA,NA,NA,NA,0,NA,Inf
"15","(Intercept)",2010545.35139538,313645074.817679,0.843656801841243,2010545.35139538,0.83146621336525,313645074.817679,0.843656801841243,2010545.35139538,0.83146621336525,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.0127382101139341,NA,NA,0.172960643156838,NA,NA,0.172960643156838,0.364952605583877,0,29700410.3221215,0.4908602517,60500580.1432401,1e-04,"1_1_2",1,1,2,2,11,NA,NA,NA,NA,NA,NA,NA
